seller_id,seller_name,origin
1,AmazonBasics,China
2,Anker,USA
3,Samsung,Japan
4,Apple,Germany
5,Sony,Germany
6,Nike,South Korea
7,Adidas,China
8,KitchenAid,Canada
9,Dell,China
10,HP,Australia
11,Lenovo,France
12,LG,USA
13,Whirlpool,USA
14,Microsoft,China
15,Logitech,Germany
16,Canon,Germany
17,Epson,Canada
18,Philips,Australia
19,Bosch,USA
20,Black+Decker,Canada
21,Dyson,Germany
22,Shimano,Canada
23,Columbia,France
24,Under Armour,Germany
25,Puma,Italy
26,Reebok,Australia
27,Levis,Japan
28,Calvin Klein,USA
29,Tommy Hilfiger,South Korea
30,Ralph Lauren,France
31,Cuisinart,UK
32,Ninja,Japan
33,Instant Pot,South Korea
34,Keurig,Germany
35,iRobot,UK
36,Fitbit,China
37,Garmin,China
38,GoPro,France
39,JBL,China
40,Bose,UK
41,Hasbro,UK
42,LEGO,Australia
43,Mattel,Japan
44,Fisher-Price,USA
45,Nerf,Italy
46,Purina,Canada
47,Pedigree,China
48,Blue Buffalo,France
49,Hills Science Diet,China
50,Iams,Canada
51,Temptations,Japan
52,Greenies,Australia
53,Kong,UK
54,Frisco,Australia
55,BrandX,Germany
